dataset,k,rp_tr,rp_fro,rp_time,greedy_tr,greedy_fro,greedy_time,uniform_tr,uniform_fro,uniform_time,opt_tr,opt_fro
yolanda,10,0.5021450836055257,0.11518718051061134,0.03429722785949707,0.998999747723151,0.9999997227315996,0.006834745407104492,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.5132606530631934,0.1289708139565354,0.012236833572387695,0.998999747723151,0.9999997227315996,0.006795167922973633,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.5085036265924092,0.12174157965438559,0.013290166854858398,0.998999747723151,0.9999997227315996,0.006803750991821289,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.5020246475860805,0.11482488885738296,0.01704096794128418,0.998999747723151,0.9999997227315996,0.0075130462646484375,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.496663233381235,0.1152450584106656,0.013740062713623047,0.998999747723151,0.9999997227315996,0.007467508316040039,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.5000670189892575,0.11973809992791241,0.014440536499023438,0.998999747723151,0.9999997227315996,0.007573604583740234,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.5118802745353793,0.13243343682028677,0.01639723777770996,0.998999747723151,0.9999997227315996,0.009585142135620117,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.5016181281957609,0.12029300523448327,0.015820741653442383,0.998999747723151,0.9999997227315996,0.00851297378540039,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.48178856882878535,0.0969133414695886,0.014111042022705078,0.998999747723151,0.9999997227315996,0.0075113773345947266,,,,0.3928402709585582,0.05010036475649593
yolanda,10,0.4822421966218686,0.09505522083023953,0.014197349548339844,0.998999747723151,0.9999997227315996,0.008859395980834961,,,,0.3928402709585582,0.05010036475649593
yolanda,20,0.45754193105745156,0.08271189820355443,0.04270362854003906,0.9979905827510449,0.9999960677066811,0.017890453338623047,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.451552359404058,0.07966892662600429,0.025542020797729492,0.9979905827510449,0.9999960677066811,0.014634847640991211,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.4432825985747836,0.07568992514888898,0.025243282318115234,0.9979905827510449,0.9999960677066811,0.01475071907043457,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.4522747021284829,0.08060115780943095,0.0259857177734375,0.9979905827510449,0.9999960677066811,0.015069246292114258,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.4352623553486216,0.07155564263191541,0.02502584457397461,0.9979905827510449,0.9999960677066811,0.01418924331665039,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.44700817173012464,0.07472906733572168,0.02695012092590332,0.9979905827510449,0.9999960677066811,0.013205289840698242,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.4451524159977841,0.0765574240242287,0.024003028869628906,0.9979905827510449,0.9999960677066811,0.014972209930419922,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.44757967563957146,0.07730536815785188,0.024196863174438477,0.9979905827510449,0.9999960677066811,0.014682531356811523,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.45068755473258426,0.08061511776984828,0.028419017791748047,0.9979905827510449,0.9999960677066811,0.015009641647338867,,,,0.34439972897280524,0.03994568788186408
yolanda,20,0.4499621455683249,0.07707787499460302,0.026598453521728516,0.9979905827510449,0.9999960677066811,0.015633583068847656,,,,0.34439972897280524,0.03994568788186408
yolanda,30,0.41898911255806753,0.06340658694704923,0.06038641929626465,0.9965457186444339,0.9992391117509113,0.019542217254638672,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.4151831553565662,0.06332262362850419,0.0367581844329834,0.9965457186444339,0.9992391117509113,0.019451618194580078,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.40725332445319984,0.059516802698480205,0.03608894348144531,0.9965457186444339,0.9992391117509113,0.020481348037719727,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.4165205095163611,0.0635677130748369,0.03628897666931152,0.9965457186444339,0.9992391117509113,0.021099567413330078,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.4219654464097491,0.06963081880407634,0.03781461715698242,0.9965457186444339,0.9992391117509113,0.02169203758239746,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.41494239051555676,0.061119048843101396,0.038451194763183594,0.9965457186444339,0.9992391117509113,0.02012944221496582,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.4246952235016901,0.06715824537506544,0.0360875129699707,0.9965457186444339,0.9992391117509113,0.020467042922973633,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.4263340181778325,0.06931536134793419,0.03860640525817871,0.9965457186444339,0.9992391117509113,0.020969867706298828,,,,0.3030557805112033,0.03045439881853699
yolanda,30,0.41632020980943923,0.06492972008143556,0.03792405128479004,0.9965457186444339,0.9992391117509113,0.022218704223632812,,,,0.3030557805112033,0.03045439881853699
