dataset,k,rp_tr,rp_fro,rp_time,greedy_tr,greedy_fro,greedy_time,opt_tr,opt_fro
yolanda,1000,0.14098350340179555,0.006299757048168972,10.433964490890503,0.20660987322480884,0.046351599329373896,7.221031665802002,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.14044039667440827,0.006272108466949729,8.746201038360596,0.20660987322480884,0.046351599329373896,5.91819953918457,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.13979190410011938,0.006314963074544938,7.993178844451904,0.20660987322480884,0.046351599329373896,7.032226324081421,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.13985957286637113,0.00628588309322328,12.270170450210571,0.20660987322480884,0.046351599329373896,7.638751745223999,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.1401203496673073,0.006303159305219693,10.023528575897217,0.20660987322480884,0.046351599329373896,7.105204820632935,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.1401341468244918,0.006315235162690562,6.887875318527222,0.20660987322480884,0.046351599329373896,7.102376461029053,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.1403990706825816,0.006268734974966478,8.641125440597534,0.20660987322480884,0.046351599329373896,6.822094440460205,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.1407646966028414,0.006307246212623939,9.059881925582886,0.20660987322480884,0.046351599329373896,8.156259298324585,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.14060560028040575,0.006250714871353043,7.599353313446045,0.20660987322480884,0.046351599329373896,6.803132057189941,0.08706912228179553,0.0031461798926446655
yolanda,1000,0.14066627559265849,0.006302853582238,9.241994142532349,0.20660987322480884,0.046351599329373896,5.961172580718994,0.08706912228179553,0.0031461798926446655
mnist_784,1000,0.10819805390798695,0.004953127713824232,8.5853271484375,0.16961570190263237,0.025289214473876706,10.103820562362671,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10758578264403108,0.0048517963603234154,12.305918455123901,0.16961570190263237,0.025289214473876706,9.088087797164917,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10811329783541186,0.004883445058054645,7.545986652374268,0.16961570190263237,0.025289214473876706,6.407474040985107,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10859660673091107,0.004966839157354901,8.617405652999878,0.16961570190263237,0.025289214473876706,8.788518905639648,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.1089437364556142,0.00499843964144301,10.045660257339478,0.16961570190263237,0.025289214473876706,10.215898990631104,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10917513418856702,0.004946315309258155,8.439721822738647,0.16961570190263237,0.025289214473876706,6.456461668014526,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10761031884759309,0.0048386353360807014,8.122930765151978,0.16961570190263237,0.025289214473876706,6.134408712387085,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10872270702089809,0.004986969211831366,7.162456035614014,0.16961570190263237,0.025289214473876706,6.436614990234375,0.059598032264419724,0.001966395100827775
